genus,X4.3.2012.abundance,X8.7.2012.abundance,X11.6.2012.abundance,X1.26.2013.abundance,X2.25.2013.abundance,X3.24.2013.abundance,X4.7.2013.abundance,X4.29.2013.abundance,X6.9.2013.abundance,X7.14.2013.abundance,X8.10.2013.abundance,X9.3.2013.abundance,X9.24.2013.abundance,X10.27.2013.abundance,X11.10.2013.abundance,X12.14.2013.abundance,X1.19.2014.abundance,X2.17.2014.abundance,X3.23.2014.abundance,X5.4.2014.abundance,X6.16.2014.abundance,X8.11.2014.abundance,X8.22.2014.abundance,X8.25.2014.abundance,X9.28.2014.abundance,X11.16.2014.abundance,X11.22.2014.abundance,X12.7.2014.abundance,X12.17.2014.abundance,X1.6.2015.abundance,X1.14.2015.abundance,X1.25.2015.abundance,X2.8.2015.abundance,X2.23.2015.abundance
Peptococcus,0,0,0,2e-05,0,0,0,5.2e-05,2e-05,0.000185,0.000199,0.000199,0.000308,0.00014,0.000237,9e-06,0.000123,7e-06,0.000344,2e-05,0.00019,0,0,4e-05,0,1.4e-05,0,5.8e-05,8.9e-05,1.5e-05,0.000105,5.2e-05,0,0
Finegoldia,0,0,0,0,2.3e-05,0,0,0,1.2e-05,0,8e-06,0,0,2.5e-05,0,1.2e-05,0,1.8e-05,0,5.9e-05,1e-05,0.000252,0,0,0,0,0.002032,0,0,0,3.5e-05,0,0,0
Escherichia,0.00018,0.00026,0,0.000102,2.3e-05,0,9.7e-05,0,0.00018,0.000167,9.8e-05,0.000204,0.000372,0.00023,7.1e-05,0.000372,0,0.00012,0.000153,0.000115,8.5e-05,0,7.2e-05,6e-05,0.001502,0.000425,0,2.3e-05,0,0.000116,4.7e-05,0,0,0
Klebsiella,0,0,0,0,4.5e-05,0,0,0,0,0,0,2.3e-05,4.2e-05,0.000999,5e-05,6e-06,0,0,0,0,0,0,0,6e-05,0,0,0,0,0,0.001243,2.3e-05,0,0,0
Oscillibacter,0,0.000205,0.000324,8.8e-05,5.7e-05,0.000777,0.00032,0.000121,0.000724,0.001231,0.003655,0.002854,0.00147,0.003608,0.002463,0.000258,0.000357,0.000306,0.000727,0.000277,0.000701,0.000337,0.000217,0,0.000194,0.000347,0,0.000853,0.000443,0.000112,7e-05,0,4.1e-05,0.000174
Halorhodospira,0,0,0.000159,0,0,0,0,4.3e-05,0,0,0,0,0,1.2e-05,0,0,2.1e-05,7e-06,0,0,1.5e-05,0,0,7.9e-05,0,0,0,0,0,0,0.000105,0,0,0
Lactobacillus,0.00024,0.00062,0.012982,0.001291,0.002837,0.000222,0.003585,0.012708,0.002795,0.015368,0.003119,0.012649,0.001088,0.000736,0.002826,0.004765,0.013335,0.000128,0.003864,0.000458,0.00031,0,0,0,0.000839,2.8e-05,0.00267,4.6e-05,0.001451,5.8e-05,0.000855,0.004163,0.002432,0.001415
Serratia,0.002635,0.000115,0,0.00672,0,0.000389,0.00057,2.6e-05,0.000184,3.5e-05,0.004448,0.005367,0.000186,0.096843,0.009783,0.000516,1.1e-05,0.000339,0.000153,0.000316,4.5e-05,0,0.000593,4e-05,0.001825,0.000616,0,2.3e-05,0,0.000186,0.000187,0,0,4.4e-05
Shigella,0,8.5e-05,0,1.4e-05,0,0,0,0,3.1e-05,0,6.5e-05,6e-05,3.2e-05,2.1e-05,0,3.9e-05,0,0,0,7e-06,0,0,0,4e-05,0.000534,0.000156,0,5.8e-05,0,3.1e-05,3.5e-05,0,0,0
Bilophila,0,0,0.000687,0.000306,0.002905,0.000167,0.003995,0.000605,0.002404,0.001433,0.001504,0.001268,0.000812,0.00277,0.001033,0.002152,0.003138,0.002879,0.00176,0.002838,0.000641,0.003871,0.002591,0.003909,0.000516,0.001599,0,0.001061,0.001352,0.001204,0.002131,0.001587,0.000742,0.000305
Pseudobutyrivibrio,0.007546,0.00888,0.006766,0.003846,0.006601,0.043078,0.009948,0.005546,0.004823,0.004053,0.011751,0.01374,0.008126,0.041189,0.031605,0.024375,0.020511,0.012003,0.028352,0.013612,0.023945,0.025585,0.009828,0.030993,0.014156,0.018619,0.063106,0.016929,0.038567,0.027758,0.017917,0.002914,0.029549,0.02468
Blautia,0.07965,0.069486,0.109558,0.077389,0.111494,0.061008,0.030227,0.051524,0.058239,0.058983,0.125393,0.076076,0.110945,0.083957,0.115464,0.043718,0.112369,0.051362,0.027931,0.049097,0.075127,0.122033,0.063064,0.043711,0.060027,0.085035,0.069561,0.054051,0.052931,0.021744,0.014345,0.116115,0.103876,0.029467
Morganella,0,0,0,0,0.00017,0,0.000222,0,1.2e-05,0,0,0,0,3.7e-05,1.5e-05,2.4e-05,8e-05,2.9e-05,0,0.000333,0,0.000168,0,6e-05,0.00804,0.003347,0,0.022638,0.022325,0.008856,0.004918,0,6.2e-05,0.016584
Providencia,0,3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9e-05,0.000142,0,0.005201,0.006098,0.001115,0.005235,0,0,0.002568
Salmonella,0,0.00014,2.9e-05,0.000116,0.000441,0.000222,0.000174,5.2e-05,4.7e-05,6.2e-05,0.000268,0.00012,0.000111,5.3e-05,5.5e-05,0.000129,0.000448,3.6e-05,0,1.6e-05,2e-05,0.001683,5.8e-05,9.9e-05,0.000739,0.000828,0,0,0,0.001073,0.000281,0,0,0
Eubacterium,0.017787,0.074559,0.024132,0.012074,0.009777,0.087876,0.064734,0.022341,0.031008,0.110626,0.012149,0.079023,0.027016,0.031213,0.065361,0.028867,0.016835,0.012958,0.020661,0.008923,0.050166,0.017253,0.020713,0.005357,0.015611,0.019171,0.007385,0.01046,0.028575,0.015288,0.036138,0.010485,0.012426,0.025071
Sutterella,0,0.00021,0.000544,4.8e-05,3.4e-05,0,0.000368,0.003101,0.002541,0.002216,0.000244,0.000116,8e-05,0.000251,0.000237,0.000129,0,0.00051,0.00199,0.001636,0.000385,0.000168,0,0.004286,0.002348,0.000524,0.002909,0.006942,0.006722,0.005638,0.000199,0,0.000639,0.002655
Peptoniphilus,0.00012,0,0,0,0,0,0,0,7.8e-05,0,0,0,3.7e-05,0.00263,3e-05,6e-06,0,7e-06,0,8e-04,0,0,0,0,0,0,6.6e-05,0,0,8e-06,2.3e-05,0,0,0
Adlercreutzia,0.000299,8e-04,0.000519,0.00248,0.000192,0,0.000146,0.000423,0.000204,2.6e-05,6.1e-05,5.1e-05,0,0.000103,1e-05,5.4e-05,0.000202,0.000361,0.000268,0.000339,0.00034,0.001178,0.000709,0.000615,0.000211,0.000587,2.7e-05,0.000669,0.000541,0.000527,7e-05,0.001795,0.000288,8.7e-05
Corynebacterium,0,0,6e-06,0,0,0,0,0,8e-06,0.000114,4.9e-05,6.9e-05,0,5.8e-05,3e-05,0,1.1e-05,1.5e-05,0,4.9e-05,2.5e-05,0,0,0,0,0,0.002484,2.3e-05,0,1.9e-05,2.3e-05,0,0,0
Parvimonas,0,1e-05,0,0,0.000271,0,0.000695,0,8e-06,5.3e-05,2.8e-05,0,0,0.000263,0,0,4.8e-05,4e-05,0,0.001238,1e-05,0.003198,0,0,0,1.4e-05,0,0,0,1.5e-05,3.5e-05,0,4.1e-05,0
Parasutterella,0.000419,0.00029,0.000668,0.000333,5.7e-05,0,1.4e-05,0.001322,0.000368,0.000343,0.000626,0.000773,0.000563,0.00083,0.000121,0.001518,0.000661,0.001775,0.003864,0.001228,0.001576,0,2.9e-05,0.002143,0.001485,0.000177,0.000159,0.003956,0.004072,0.001491,0.000117,0,0.001072,0.002829
Tatumella,0,1.5e-05,0,0,0.000158,0,1.4e-05,0,0,0,0,9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5e-05,8.2e-05,0,0,0
Bacteroides,0.044736,0.036251,0.083934,0.043838,0.061941,0.03031,0.057008,0.058253,0.026021,0.034279,0.053558,0.057256,0.022494,0.070277,0.028855,0.096089,0.071858,0.065563,0.047865,0.051006,0.035019,0.04166,0.052831,0.067065,0.052978,0.053232,0.051072,0.034458,0.052444,0.08883,0.130079,0.032157,0.031301,0.036432
Butyrivibrio,0.000958,0.010486,0.007829,0.007753,0.014886,0.007383,0.003501,0.001417,0.002529,0.007394,0.043897,0.004451,0.047583,0.008083,0.01278,0.000312,0.004758,0.000401,0.000957,0.003836,0.004203,0.001936,0.006615,0.006905,0.002224,0.022249,4e-05,0.008084,0.00087,0.001077,0.001827,0.00255,0.004719,0.004831
Flavonifractor,0,1e-05,0,2.7e-05,0,0,4.9e-05,9.5e-05,3.9e-05,3.5e-05,6.1e-05,9.3e-05,4.8e-05,0.000242,2e-05,5.4e-05,7.5e-05,7.7e-05,0,0.00031,7e-05,0,2.9e-05,0,0,0,0,0.000219,0,3.1e-05,0.000105,0,0,0
