family,4.3.2012 abundance,8.7.2012 abundance,11.6.2012 abundance,1.26.2013 abundance,2.25.2013 abundance,3.24.2013 abundance,4.7.2013 abundance,4.29.2013 abundance,6.9.2013 abundance,7.14.2013 abundance,8.10.2013 abundance,9.3.2013 abundance,9.24.2013 abundance,10.27.2013 abundance,11.10.2013 abundance,12.14.2013 abundance,1.19.2014 abundance,2.17.2014 abundance,3.23.2014 abundance,5.4.2014 abundance,6.16.2014 abundance,8.11.2014 abundance,8.22.2014 abundance,8.25.2014 abundance,9.28.2014 abundance,11.16.2014 abundance,11.22.2014 abundance,12.7.2014 abundance,12.17.2014 abundance,1.6.2015 abundance,1.14.2015 abundance,1.25.2015 abundance,2.8.2015 abundance,2.23.2015 abundance
Flammeovirgaceae,NA,NA,1.3e-05,NA,NA,NA,1.4e-05,NA,NA,2.6e-05,NA,NA,NA,8e-06,1.5e-05,3e-05,1.1e-05,7e-06,NA,NA,NA,NA,8.7e-05,NA,1.2e-05,1.4e-05,9.3e-05,5.8e-05,1e-05,3.5e-05,NA,NA,NA,NA
Fusobacteriaceae,NA,NA,2.9e-05,NA,0.002091,0.000167,0.010101,0.000121,0.00038,3.5e-05,3.3e-05,9e-06,1.1e-05,0.000152,NA,8.1e-05,0.00105,0.000408,NA,0.000741,NA,0.002104,2.9e-05,NA,NA,0.000134,NA,NA,1e-05,NA,NA,NA,NA,NA
Acetobacteraceae,NA,NA,NA,NA,NA,NA,1.4e-05,NA,NA,NA,NA,9e-06,3.7e-05,8e-06,NA,0.000138,0.000112,3.3e-05,NA,NA,NA,NA,7.2e-05,NA,NA,NA,NA,NA,NA,1.2e-05,NA,NA,NA,NA
Paenibacillaceae,0.00012,NA,1.9e-05,NA,0.000102,0.000111,6.3e-05,1.7e-05,1.2e-05,NA,8e-06,3.2e-05,NA,3.7e-05,1e-05,3e-05,2.7e-05,NA,NA,1e-05,1e-05,NA,NA,NA,4.7e-05,2.1e-05,6.6e-05,2.3e-05,1e-05,0.000205,NA,NA,NA,0.000239
Aerococcaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1e-05,7e-06,NA,7e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7e-05,NA,NA,NA,NA
Neisseriaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9e-06,3.2e-05,2.5e-05,NA,NA,2.7e-05,7.3e-05,NA,0.000198,NA,NA,NA,NA,1.2e-05,NA,NA,NA,3e-05,NA,NA,NA,NA,NA
Leuconostocaceae,NA,NA,NA,1.4e-05,NA,NA,1.4e-05,NA,2e-04,NA,NA,9e-06,NA,NA,1e-05,2.1e-05,5.3e-05,6.6e-05,NA,7e-06,NA,NA,4.3e-05,NA,NA,NA,NA,5.8e-05,1e-05,8e-06,NA,NA,NA,NA
Comamonadaceae,NA,NA,5.7e-05,NA,NA,NA,2.1e-05,0.000415,NA,NA,0.000419,0.000245,0.000308,0.00046,3e-05,7.8e-05,0.000309,1.5e-05,0.000191,7.2e-05,7.5e-05,NA,8.7e-05,NA,NA,NA,NA,NA,2.5e-05,NA,NA,NA,0.000124,NA
Caldicoprobacteraceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6e-05,1.4e-05,1.1e-05,NA,1e-05,NA,1.1e-05,NA,NA,7e-06,NA,NA,NA,NA,2.9e-05,1.4e-05,NA,NA,1e-05,4.3e-05,NA,NA,6.2e-05,NA
Cellulomonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
